70,57,82,0,-42,-4,12,126,114,negative
37,-38,106,-104,30,-17,69,75,6,0
52,-30,79,0,0,0,27,79,52,0
78,-33,88,-4,8,0,10,81,70,0
68,-27,107,0,60,-5,38,47,10,0
37,-49,80,0,34,0,43,46,2,0
42,36,77,0,-22,0,36,101,64,0
73,-45,88,-1,8,0,15,81,66,0
44,-37,77,0,-2,0,33,79,46,0
81,-28,89,2,8,0,8,81,72,0
37,-36,78,0,10,0,42,68,26,0
71,-51,88,0,8,0,17,81,64,0
37,-78,75,-1,26,-20,38,49,12,0
92,-41,107,0,68,-6,15,40,24,0
90,-40,107,0,64,-28,17,42,26,0
37,-102,76,1,36,1,39,40,2,0
53,-73,88,0,6,-30,35,83,48,0
42,-30,76,0,42,0,34,35,2,0
69,59,82,0,-42,-5,13,126,112,0
43,-34,91,0,2,0,48,88,40,0
68,67,82,0,-42,-6,13,126,112,0
89,-40,107,0,64,-18,18,42,24,0
37,-107,77,0,20,0,40,56,16,0
37,-80,106,-1,30,1,69,75,6,0
37,-33,76,0,20,0,39,55,16,0
44,-39,91,0,2,0,47,88,42,0
82,736,106,-3,34,-16,24,72,48,1
44,-45,78,-6,0,0,34,78,44,0
47,-44,91,0,2,0,43,88,44,0
37,-60,78,0,10,0,42,68,26,0
55,1029,75,-3,28,26,20,46,26,1
43,-33,77,0,-2,0,34,79,46,0
50,-37,79,0,0,0,29,79,50,0
37,-75,112,105,34,14,75,78,4,0
37,-34,106,0,30,-4,69,75,6,0
41,33,77,0,-22,0,37,101,64,0
45,-30,89,2,6,-2,44,84,40,0
70,-51,88,0,8,0,18,81,62,0
50,22,79,0,42,0,29,37,8,0
62,66,82,0,-42,-8,20,126,106,0
37,-70,106,0,34,-2,69,72,4,0
55,1029,76,0,20,0,20,55,34,1
42,-37,76,0,42,0,34,35,2,0
37,-33,76,0,36,0,39,40,2,0
48,-51,89,8,6,-13,41,84,44,0
45,-29,89,1,6,-2,44,84,40,0
72,21,82,0,-42,-1,10,126,116,0
43,-58,76,0,42,0,33,35,2,0
69,-28,107,0,60,-8,38,47,10,0
37,-85,77,0,20,0,40,56,16,0
51,21,79,0,42,0,28,37,10,0
70,-30,107,0,60,-13,37,47,10,0
47,-49,77,0,-2,0,30,79,50,0
45,32,77,0,28,0,32,48,16,0
79,1958,82,-3,44,-5,3,38,34,1
42,-29,78,-6,0,0,36,78,42,0
45,-64,77,-3,44,-4,32,34,2,0
96,-27,107,0,68,-24,11,40,30,0
59,-69,88,0,8,0,29,81,52,0
87,-36,107,0,64,-9,20,42,22,0
44,-40,77,0,-2,0,33,79,46,0
69,-27,107,0,60,-6,38,47,10,0
44,45,77,0,-22,0,34,101,66,0
84,-35,107,0,64,-3,22,42,20,0
46,48,77,0,-22,0,31,101,70,0
45,46,77,0,-22,0,33,101,68,0
47,33,77,0,28,0,30,48,18,0
52,-27,91,0,2,0,38,88,50,0
76,-45,107,0,62,-3,30,45,14,0
66,77,82,0,-40,25,16,123,106,0
80,-38,107,0,62,-8,27,45,18,0
37,-42,76,0,36,0,39,40,2,0
37,-100,106,-1,30,1,69,75,6,0
51,-33,77,0,-2,0,26,79,54,0
37,-78,76,0,20,0,39,55,16,0
37,-32,106,0,30,0,69,75,6,0
45,-27,81,0,44,0,36,37,2,0
41,22,77,0,28,0,36,48,12,0
43,-72,76,0,42,0,33,35,2,0
76,-41,88,-2,8,0,13,81,68,0
37,-35,77,0,20,0,40,56,16,0
50,24,77,0,-22,0,27,101,74,0
50,23,79,0,42,0,29,37,8,0
44,-34,79,2,0,0,35,79,44,0
58,-70,88,0,8,0,30,81,50,0
46,-49,79,3,0,0,33,79,46,0
72,-41,107,0,60,-31,35,47,12,0
47,-45,91,0,2,0,44,88,44,0
54,-73,88,0,8,0,34,81,46,0
72,24,82,0,-42,-2,10,126,116,0
42,-31,91,0,2,0,48,88,40,0
47,-48,77,0,-2,0,29,79,50,0
73,-44,107,0,62,-1,33,45,12,0
70,51,82,0,-40,28,12,123,112,0
68,72,82,0,-42,-8,14,126,112,0
49,28,77,0,28,0,28,48,20,0
75,-47,107,0,62,-2,32,45,12,0
71,32,82,0,-42,-4,11,126,116,0
74,-42,107,0,62,-1,33,45,12,0
57,1149,80,0,34,0,23,46,24,1
97,-29,107,0,70,0,10,37,28,0
71,-33,107,0,60,-21,36,47,12,0
72,-51,88,-1,8,0,16,81,64,0
37,-88,106,0,34,-2,69,72,4,0
82,-33,107,0,62,-16,25,45,20,0
37,-100,106,-2,34,-3,69,72,4,0
49,-42,77,0,-2,0,28,79,52,0
47,-42,89,5,6,-8,41,84,42,0
77,-36,88,-3,8,0,11,81,70,0
78,-42,107,0,62,-5,29,45,16,0
47,44,77,0,-22,0,30,101,70,0
52,-25,79,0,0,0,26,79,52,0
37,-118,106,3,30,-16,69,75,6,0
37,-31,80,0,34,0,43,46,2,0
37,-85,77,0,20,0,40,57,16,0
50,-38,91,0,2,0,41,88,48,0
43,29,77,0,28,0,34,48,14,0
41,21,77,0,28,0,36,48,12,0
37,-64,106,-1,30,0,69,75,6,0
46,-49,77,0,-2,0,31,79,48,0
68,-60,88,0,8,0,21,81,60,0
48,-46,89,6,6,-11,41,84,42,0
48,30,77,0,28,0,29,48,20,0
72,-38,107,0,62,5,35,45,10,0
43,-32,79,2,0,0,35,79,44,0
57,-71,88,0,8,0,32,81,48,0
71,-31,107,0,60,-17,36,47,12,0
47,48,77,0,-22,0,30,101,70,0
81,-29,89,2,8,0,8,81,74,0
84,-32,107,0,62,-32,23,45,22,0
51,24,77,0,-22,0,27,101,74,0
37,-42,76,0,20,0,39,55,16,0
43,-91,76,0,42,0,33,35,2,0
47,-48,78,-6,0,0,31,78,48,0
37,-94,112,365,34,17,75,78,4,0
37,-91,80,0,34,0,43,46,2,0
97,-28,107,0,68,-30,10,40,30,0
42,-25,77,0,-2,0,35,79,44,0
55,-72,88,0,8,0,33,81,48,0
64,1532,77,0,20,0,14,57,44,1
37,-65,76,0,36,0,39,40,2,0
94,-35,107,0,68,-15,12,40,28,0
37,-42,75,0,26,-19,38,49,12,0
48,-42,91,0,2,0,43,88,46,0
72,30,82,0,-42,-3,10,126,116,0
44,28,77,0,28,0,33,48,16,0
37,-54,75,-1,28,15,38,46,8,0
37,-82,76,0,36,0,39,40,2,0
50,-62,88,0,6,-27,38,83,46,0
